2017年,1,沃尔玛(Wal-Mart Stores),485，873,13，643
2017年,2,伯克希尔－哈撒韦公司(Berkshire Hathaway),223，604,24，074
2017年,3,苹果公司(Apple),215，639,45，687
2017年,4,埃克森美孚(Exxon Mobil),205，004,7，840
2017年,5,麦克森公司(McKesson),192，487,2，258
2017年,6,联合健康集团(UnitedHealth Group),184，840,7，017
2017年,7,CVS Health公司(CVS Health),177，526,5，317
2017年,8,通用汽车公司(General Motors),166，380,9，427
2017年,9,美国电话电报公司(AT&T),163，786,12，976
2017年,10,福特汽车公司(Ford Motor),151，800,4，596
2017年,11,美源伯根公司(AmerisourceBergen),146，849.7,1，427.9
2017年,12,亚马逊(Amazon.com),135，987,2，371
2017年,13,通用电气公司(General Electric),126，661,8，831
2017年,14,威瑞森电信(Verizon Communications),125，980,13，127
2017年,15,卡地纳健康(Cardinal Health),121，546,1，427
2017年,16,好市多(Costco Wholesale),118，719,2，350
2017年,17,沃尔格林联合博姿集团(Walgreens Boots Alliance),117，351,4，173
2017年,18,克罗格(Kroger),115，337,1，975
2017年,19,雪佛龙(Chevron),107，567,-497
2017年,20,房利美(Fannie Mae),107，162,12，313
2017年,21,摩根大通公司(JPMorgan Chase & Co.),105，486,24，733
2017年,22,美国快捷药方公司(Express Scripts Holding),100，287.5,3，404.4
2017年,23,家得宝(Home Depot),94，595,7，957
2017年,24,波音(Boeing),94，571,4，895
2017年,25,美国富国银行(Wells Fargo),94，176,21，938
2017年,26,美国银行(Bank of America Corp.),93，662,17，906
2017年,27,Alphabet公司(Alphabet),90，272,19，478
2017年,28,微软(Microsoft),85，320,16，798
2017年,29,Anthem公司(Anthem),84，863,2，469.8
2017年,30,花旗集团(Citigroup),82，386,14，912
2017年,31,美国康卡斯特电信公司(Comcast),80，403,8，695
2017年,32,国际商业机器公司(International Business Machines),79，919,11，872
2017年,33,州立农业保险公司(State Farm Insurance Cos.),76，131.8,350.3
2017年,34,Phillips 66公司(Phillips 66),72，396,1，555
2017年,35,强生(Johnson & Johnson),71，890,16，540
2017年,36,宝洁公司(Procter & Gamble),71，726,10，508
2017年,37,瓦莱罗能源公司(Valero Energy),70，166,2，289
2017年,38,塔吉特公司(Target),69，495,2，737
2017年,39,房地美(Freddie Mac),65，665,7，815
2017年,40,美国劳氏公司(Lowe's),65，017,3，093
2017年,41,戴尔科技(Dell Technologies),64，806,-1，672
2017年,42,大都会保险公司(MetLife),63，476,800
2017年,43,安泰保险(Aetna),63，155,2，271
2017年,44,百事公司(PepsiCo),62，799,6，329
2017年,45,ADM公司(Archer Daniels Midland),62，346,1，279
2017年,46,联合包裹速递服务公司(United Parcel Service),60，906,3，431
2017年,47,英特尔公司(Intel),59，387,10，316
2017年,48,美国保德信金融集团(Prudential Financial),58，779,4，368
2017年,49,Albertsons Cos.公司(Albertsons Cos.),58，734,-502.2
2017年,50,联合技术公司(United Technologies),57，244,5，055
2017年,51,马拉松原油公司(Marathon Petroleum),55，858,1，174
2017年,52,华特迪士尼公司(Walt Disney),55，632,9，391
2017年,53,哈门那公司(Humana),54，379,614
2017年,54,辉瑞制药有限公司(Pfizer),52，824,7，215
2017年,55,美国国际集团(American International Group),52，367,-849
2017年,56,洛克希德－马丁(Lockheed Martin),50，658,5，302
2017年,57,西斯科公司(Sysco),50，366.9,949.6
2017年,58,联邦快递(FedEx),50，365,1，820
2017年,59,慧与(Hewlett Packard Enterprise),50，123,3，161
2017年,60,思科公司(Cisco Systems),49，247,10，739
2017年,61,惠普(HP),48，238,2，496
2017年,62,陶氏化学(Dow Chemical),48，158,4，318
2017年,63,HCA公司(HCA Holdings),44，747,2，890
2017年,64,可口可乐公司(Coca-Cola),41，863,6，527
2017年,65,美国纽约人寿保险公司(New York Life Insurance),40，786.6,1，088.1
2017年,66,Centene公司(Centene),40，721,562
2017年,67,美国航空集团(American Airlines Group),40，180,2，676
2017年,68,全美互惠保险公司(Nationwide),40，074.1,334.3
2017年,69,默沙东(Merck),39，807,3，920
2017年,70,信诺(Cigna),39，668,1，867
2017年,71,达美航空(Delta Air Lines),39，639,4，373
2017年,72,百思买(Best Buy),39，403,1，228
2017年,73,霍尼韦尔国际公司(Honeywell International),39，302,4，809
2017年,74,卡特彼勒(Caterpillar),38，537,-67
2017年,75,美国利宝相互保险公司(Liberty Mutual Insurance Group),38，308,1，006
2017年,76,摩根士丹利(Morgan Stanley),37，949,5，979
2017年,77,美国麻省人寿保险公司(Massachusetts Mutual Life Insurance),37，788,1，273.5
2017年,78,高盛(Goldman Sachs Group),37，712,7，398
2017年,79,Energy Transfer Equity公司(Energy Transfer Equity),37，504,995
2017年,80,美国教师退休基金会(TIAA),37，105.4,1，492.3
2017年,81,甲骨文公司(Oracle),37，047,8，901
2017年,82,泰森食品(Tyson Foods),36，881,1，768
2017年,83,联合大陆控股有限公司(United Continental Holdings),36，556,2，263
2017年,84,好事达(Allstate),36，534,1，877
2017年,85,大众超级市场公司(Publix Super Markets),34，274.1,2，025.7
2017年,86,美国运通公司(American Express),33，823,5，408
2017年,87,TJX公司(TJX),33，183.7,2，298.2
2017年,88,耐克(Nike),32，376,3，760
2017年,89,Exelon公司(Exelon),31，360,1，134
2017年,90,通用动力(General Dynamics),31，353,2，955
2017年,91,美国来爱德公司(Rite Aid),30，736.7,165.5
2017年,92,吉利德科学公司(Gilead Sciences),30，390,13，501
